"site_id","building_id","primary_use","square_feet","floor_count","row_id","year_built","latent_y","latent_s","latent_r"
10,1017,Technology,109263,6,1018,1971,29,4.26031,4
4,587,Technology,53234,5,588,1949,51,4.0271864,3
13,1081,Industrial,11470,1,1082,2005,5,4.0595636,4
13,1171,Industrial,56851,1,1172,2022,22,4.7547383,4
15,1340,Industrial,111518,1,1341,1975,25,5.047345,4
3,383,Warehouse,27318,1,384,1977,23,4.436449,3
13,1155,Warehouse,19059,1,1156,2012,12,4.2801003,4
2,164,Warehouse,12908,1,165,1986,14,4.110859,3
3,413,Warehouse,14839,1,414,2012,12,4.171405,3
13,1199,Warehouse,10559,1,1200,1983,17,4.023623,4
2,179,Restaurant,24867,1,180,2019,19,4.395623,3
14,1265,Restaurant,35605,1,1266,1986,14,4.551511,4
8,811,Community,4848,1,812,1996,4,3.6855626,4
8,834,Community,4934,1,835,2018,18,3.6931992,4
8,865,Community,10174,1,866,1981,19,4.0074916,4
8,866,Community,10174,1,867,1975,25,4.0074916,4
1,138,Community,118231,6,139,1990,10,4.2945766,2
4,603,Community,29063,3,604,2011,11,3.9861894,3
5,678,Community,60977,6,679,1983,17,4.006979,4
5,680,Community,9849,2,681,1983,17,3.692318,4
3,402,Community,2818,1,403,1973,27,3.449941,3
3,422,Community,8726,1,423,2004,4,3.9408152,3
3,427,Community,14269,1,428,1989,11,4.1543937,3
3,432,Community,103200,1,433,1973,27,5.0136795,3
3,441,Community,3267,1,442,2023,23,3.5141492,3
3,460,Community,17927,1,461,1992,8,4.2535076,3
3,466,Community,22500,1,467,1974,26,4.3521824,3
3,470,Community,24618,1,471,1981,19,4.391253,3
3,514,Community,12750,1,515,1999,1,4.10551,3
3,527,Community,9392,1,528,2017,17,3.972758,3
3,528,Community,11143,1,529,2007,7,4.0470023,3
3,531,Community,68203,1,532,2004,4,4.8338037,3
12,1047,Community,252952,1,1048,1967,33,5.403038,4
6,788,Community,401753,1,789,2006,6,5.603959,4
13,1104,Community,199722,1,1105,2018,18,5.300426,4
14,1271,Community,20540,1,1272,2000,0,4.3126006,4
3,361,Community,13224,1,362,1972,28,4.1213627,3
3,469,Community,13044,1,470,1920,80,4.115411,3
3,474,Community,10151,1,475,1973,27,4.006509,3
3,479,Community,43955,1,480,1985,15,4.643008,3
3,485,Community,22000,1,486,2014,14,4.3424225,3
3,518,Community,555243,1,519,1948,52,5.744483,3
